,county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,square_footage,location,latitude,longitude
4910,Erie,143030,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35136,1055,WALDEN AVE              ,CHEEKTOWAGA,NY,14211,2500,"1055 walden ave cheektowaga, ny 14211 42.906975, -78.796759",42.906975,-78.796759
4911,Erie,142921,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35138H,889,BEACH RD                 ,CHEEKTOWAGA,NY,14225,2923,"889 beach rd cheektowaga, ny 14225 42.945136, -78.760828",42.945136,-78.760828
4912,Erie,142949,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35139,2761,HARLEM RD               ,CHEEKTOWAGA,NY,14225,3200,"2761 harlem rd cheektowaga, ny 14225 42.919028, -78.78429",42.919028,-78.78429
4913,Erie,142948,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35141H,281,PARKSIDE AVE             ,BUFFALO,NY,14214,2400,"281 parkside ave buffalo, ny 14214 42.937722, -78.850648",42.937722,-78.850648
4914,Erie,142947,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35143,3211,MAIN ST                 ,BUFFALO,NY,14214,2500,"3211 main st buffalo, ny 14214 42.951308, -78.825777",42.951308,-78.825777
4915,Erie,142946,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35145,304,ELMWOOD AVE              ,BUFFALO,NY,14222,2800,"304 elmwood ave buffalo, ny 14222 42.905248, -78.87713",42.905248,-78.87713
4916,Erie,142945,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35146,537,POTTER RD                ,WEST SENECA,NY,14220,3500,"537 potter rd west seneca, ny 14220",,
4917,Erie,142989,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35147,601,PROSPECT AVE             ,BUFFALO,NY,14213,2600,"601 prospect ave buffalo, ny 14213 42.903277, -78.892381",42.903277,-78.892381
4923,Erie,704359,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35157H,43,LINCOLN PARK DR           ,TONAWANDA,NY,14223,3000,"43 lincoln park dr tonawanda, ny 14223 42.971626, -78.831786",42.971626,-78.831786
4925,Erie,142920,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35161H,741,KENMORE AVE              ,BUFFALO,NY,14223,2500,"741 kenmore ave buffalo, ny 14223 42.958513, -78.845226",42.958513,-78.845226
4926,Erie,702154,Store,JAC   ,7 ELEVEN INC                     ,7-ELEVEN #35165,171,GRANT ST                 ,BUFFALO,NY,14213,1900,"171 grant st buffalo, ny 14213 42.918793, -78.890557",42.918793,-78.890557
4928,Erie,143044,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35176,2275,GENESEE ST              ,BUFFALO,NY,14211,2000,"2275 genesee st buffalo, ny 14211 42.918358, -78.799435",42.918358,-78.799435
4929,Erie,142919,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35177H,755,DICK RD                  ,CHEEKTOWAGA,NY,14225,4000,"755 dick rd cheektowaga, ny 14225 42.922884, -78.740666",42.922884,-78.740666
4933,Erie,142980,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35231H,481,ABBOTT RD                ,BUFFALO,NY,14220,4000,"481 abbott rd buffalo, ny 14220 42.849807, -78.814475",42.849807,-78.814475
4934,Erie,142983,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35236H,460,HERTEL AVE               ,BUFFALO,NY,14207,2500,"460 hertel ave buffalo, ny 14207 42.946191, -78.891067",42.946191,-78.891067
4935,Erie,142988,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35238,959,NIAGARA ST               ,BUFFALO,NY,14213,2000,"959 niagara st buffalo, ny 14213 42.909308, -78.899734",42.909308,-78.899734
4939,Erie,140779,Store,JAC   ,7-ELEVEN INC                     ,7-ELEVEN #35243H,2065,DELAWARE AVE            ,BUFFALO,NY,14216,2800,"2065 delaware ave buffalo, ny 14216 42.940255, -78.86763",42.940255,-78.86763
4944,Erie,731637,Store,JAC   ,HMIR LLC                         ,7 ELEVEN STORE #34662B,3550,GENESEE ST            ,BUFFALO,NY,14225,2500,"3550 genesee st buffalo, ny 14225 42.927149, -78.753764",42.927149,-78.753764
4947,Erie,725489,Store,JAC   ,MRF USA LLC                      ,7 ELEVEN STORE #35148A,2078,NIAGARA STREET              ,BUFFALO,NY,14207,2200,"2078 niagara street buffalo, ny 14207 42.940831, -78.905481",42.940831,-78.905481
4949,Erie,724600,Store,JAC   ,VEGA EXECUTIVE INC               ,7 ELEVEN STORE 35162A,2458,DELAWARE AVE                ,BUFFALO,NY,14216,2200,"2458 delaware ave buffalo, ny 14216 42.951338, -78.868867",42.951338,-78.868867
4950,Erie,725717,Store,JAC   ,VD FOODS INC                     ,7 ELEVEN STORE #35163A,782,ELMWOOD AVE                  ,BUFFALO,NY,14222,3500,"782 elmwood ave buffalo, ny 14222 42.918384, -78.877027",42.918384,-78.877027
4951,Erie,730433,Store,JAC   ,SUFIYAN INC                      ,7 ELEVEN STORE #35166A,584,ONTARIO STREET         ,BUFFALO,NY,14207,4000,"584 ontario street buffalo, ny 14207 42.958909, -78.895193",42.958909,-78.895193
4956,Erie,731061,Store,JAC   ,AADI-BHAGAT LLC                  ,7 ELEVEN STORE #36018A,5100,GENESEE STREET        ,BUFFALO,NY,14225,4000,"5100 genesee street buffalo, ny 14225 42.937802, -78.697477",42.937802,-78.697477
4963,Erie,142715,Store,A     ,PARK SEUNGIK                     ,ABBOTT CONVENIENCE STOR,1849,ABBOTT RD                   ,LACKAWANNA,NY,14218,1500,"1849 abbott rd lackawanna, ny 14218 42.814424, -78.800291",42.814424,-78.800291
4964,Erie,140168,Store,JAC   ,NGUYEN HUY THE                   ,A CHAU ORIENTAL FD&GIFT,833,NIAGARA ST                   ,BUFFALO,NY,14213,2000,"833 niagara st buffalo, ny 14213 42.905887, -78.896503",42.905887,-78.896503
4966,Erie,719890,Store,JAC   ,ADEN GOLDEN ARROW INC            ,ADEN GOLDEN ARROW,1351,KENSINGTON AVE              ,BUFFALO,NY,14215,0,"1351 kensington ave buffalo, ny 14215 42.94112, -78.805875",42.94112,-78.805875
4967,Erie,728540,Store,JAC   ,ADEN MINI MART & DELI INC        ,ADEN MINI MART & DELI,1517,BROADWAY STREET             ,BUFFALO,NY,14212,1800,"1517 broadway street buffalo, ny 14212 42.896341, -78.81854",42.896341,-78.81854
4968,Erie,716737,Store,A     ,BUFFALO VARIETY CONVENIENCE S INC,A DOLLAR,350,MAIN ST SPC 1 M42            ,BUFFALO,NY,14202,2000,"350 main st buffalo, ny 14202 42.883607, -78.875049",42.883607,-78.875049
4972,Erie,142733,Store,JAC   ,AFRICAN MARKET CENTER INC        ,AFRICAN MARKET CENTER,355,GRANT ST                     ,BUFFALO,NY,14213,2000,"355 grant st buffalo, ny 14213 42.923741, -78.889907",42.923741,-78.889907
4975,Erie,143049,Store,A     ,ALASRI MUSSED MANA NAGI          ,ALASRI DELI,4,THOMAS ST                      ,BUFFALO,NY,14206,800,"4 thomas st buffalo, ny 14206 42.881277, -78.835677",42.881277,-78.835677
4976,Erie,704853,Store,JAC   ,ALAWDI NABIL M                   ,ALAWDE FOOD MART,471,E FERRY ST               ,BUFFALO,NY,14208,2000,"471 e ferry st buffalo, ny 14208 42.914701, -78.846462",42.914701,-78.846462
4977,Erie,721844,Store,JAC   ,ALBERMAN INTERNATIONAL FOOD INC  ,ALBERMAN INTERNATIONAL,1590,ABBOTT RD                   ,BUFFALO,NY,14218,900,"1590 abbott rd buffalo, ny 14218 42.821483, -78.802162",42.821483,-78.802162
4978,Erie,140109,Store,JABH  ,COHENS BAKERY INC                ,AL COHENS RYE BREAD BKY,1132,BROADWAY                    ,BUFFALO,NY,14212,25000,"1132 broadway buffalo, ny 14212 42.894298, -78.832803",42.894298,-78.832803
4985,Erie,141395,Store,A     ,ALDI INC                         ,ALDI 74,1820,SHERIDAN DR                 ,BUFFALO,NY,14223,10000,"1820 sheridan dr buffalo, ny 14223 42.980955, -78.867364",42.980955,-78.867364
4988,Erie,141962,Store,A     ,ALDI INC                         ,ALDI 80,2090,ELMWOOD AVE                 ,BUFFALO,NY,14207,4000,"2090 elmwood ave buffalo, ny 14207 42.954283, -78.87836",42.954283,-78.87836
4989,Erie,140124,Store,A     ,ALDI INC                         ,ALDI 85,1685,WALDEN AVE                  ,CHEEKTOWAGA,NY,14225,17000,"1685 walden ave cheektowaga, ny 14225 42.907786, -78.775339",42.907786,-78.775339
4993,Erie,141342,Store,A     ,ALDI INC                         ,ALDI 97,3060,MAIN ST                     ,BUFFALO,NY,14214,15000,"3060 main st buffalo, ny 14214 42.948152, -78.829353",42.948152,-78.829353
4995,Erie,703192,Store,A     ,ALDI INC                         ,ALDI STORE #84,998,BROADWAY ST                  ,BUFFALO,NY,14212,3000,"998 broadway st buffalo, ny 14212 42.893504, -78.836893",42.893504,-78.836893
4997,Erie,721852,Store,JAC   ,ALFY'S 2 FOOD MARKET INC         ,ALFYS II FOOD MARKET,160,DOAT ST                      ,BUFFALO,NY,14211,1200,"160 doat st buffalo, ny 14211 42.909761, -78.814916",42.909761,-78.814916
4999,Erie,142936,Store,JAC   ,ALMADHRAHI ALI H                 ,AL-KADI MARKET,2044,SOUTH PARK AVE          ,BUFFALO,NY,14220,600,"2044 south park ave buffalo, ny 14220 42.843026, -78.82374",42.843026,-78.82374
5001,Erie,140473,Store,JABC  ,BAP GROUP INC                    ,ALLENTOWN TRADING CO,553,DELAWARE AVE                 ,BUFFALO,NY,14202,1000,"553 delaware ave buffalo, ny 14202 42.899254, -78.874001",42.899254,-78.874001
5002,Erie,710885,Store,JAC   ,AL-MADINA VARIETY STORE INC      ,AL-MADINA VARIETY STORE,1044,FILLMORE                    ,BUFFALO,NY,14211,1500,"1044 fillmore buffalo, ny 14211 42.901705, -78.839299",42.901705,-78.839299
5003,Erie,142075,Store,JAC   ,BERMAN NAGI                      ,AL-NOOR GROCERY,1200,HERTEL ST                   ,BUFFALO,NY,14216,1000,"1200 hertel st buffalo, ny 14216 42.947749, -78.863523",42.947749,-78.863523
5005,Erie,708029,Store,JAC   ,MEISTER ALEXANDER A              ,ALS KWIK STOP,92,FRANKLIN ST               ,BUFFALO,NY,14202,500,"92 franklin st buffalo, ny 14202 42.883268, -78.877509",42.883268,-78.877509
5006,Erie,140052,Store,A     ,ALAHRAG AHMED ALI                ,ALS SHORT STOP GROCERY,2717,S PARK AVE                  ,LACKAWANNA,NY,14218,6000,"2717 s park ave lackawanna, ny 14218 42.826084, -78.824014",42.826084,-78.824014
5007,Erie,728256,Store,JAC   ,AMANA MULTI TRADE INC            ,AMANA PLAZA HALAL FOOD,1054,BROADWAY              ,BUFFALO,NY,14212,1000,"1054 broadway buffalo, ny 14212 42.893749, -78.835734",42.893749,-78.835734
5010,Erie,142684,Store,JAC   ,AMHERST FOOD EXPRESS INC         ,AMHERST FOOD EXPRESS,72,E AMHERST ST                  ,BUFFALO,NY,14214,2500,"72 e amherst st buffalo, ny 14214 42.940219, -78.835206",42.940219,-78.835206
5011,Erie,142661,Store,JAC   ,AM PM GAS MART INC               ,AM PM GAS MART,1440,KENSINGTON AVE              ,BUFFALO,NY,14215,2000,"1440 kensington ave buffalo, ny 14215 42.942355, -78.802842",42.942355,-78.802842
5012,Erie,141828,Store,JAC   ,AN CHAU ASIAN MARKET INC         ,AN CHAU ORIENTAL FOODS,3306,BAILEY AVE                  ,BUFFALO,NY,14215,3000,"3306 bailey ave buffalo, ny 14215 42.94488, -78.813668",42.94488,-78.813668
5015,Erie,723343,Store,JAC   ,ANY CORNER INC                   ,ANY CORNER,650,TONAWANDA ST                 ,BUFFALO,NY,14207,1600,"650 tonawanda st buffalo, ny 14207 42.946589, -78.902205",42.946589,-78.902205
5016,Erie,727175,Store,JAC   ,AOEN FOOD & GAS MART INC         ,AOEN FOOD & GAS MART,1635,KENSINGTON AVE              ,BUFFALO,NY,14215,1200,"1635 kensington ave buffalo, ny 14215 42.945006, -78.796312",42.945006,-78.796312
5025,Erie,733962,Store,JAC   ,7 ELEVEN INC                     ,A PLUS #40242H,432,DINGENS ST               ,BUFFALO,NY,14206,3200,"432 dingens st buffalo, ny 14206 42.877702, -78.799251",42.877702,-78.799251
5026,Erie,735226,Store,JAC   ,7-ELEVEN INC                     ,A PLUS #40250H,1329,ABBOTT RD & RIDGE ST        ,BUFFALO,NY,14218,0,"1329 abbott rd & ridge st buffalo, ny 14218",,
5031,Erie,140027,Store,JAC   ,M&BS GROUP INC                   ,APLUS MINI MARKET,4401,UNION RD                    ,CHEEKTOWAGA,NY,14225,1500,"4401 union rd cheektowaga, ny 14225 42.933315, -78.754149",42.933315,-78.754149
5032,Erie,718285,Store,JAC   ,MUDHEL AMBAR B                   ,ARBIN GROCERY & HALAL,397,CONNECTICUT ST               ,BUFFALO,NY,14213,400,"397 connecticut st buffalo, ny 14213 42.906478, -78.886436",42.906478,-78.886436
5033,Erie,705745,Store,JAC   ,AREF DELI INC                    ,AREE DELI,1059,GRANT ST                    ,BUFFALO,NY,14207,1000,"1059 grant st buffalo, ny 14207 42.940865, -78.891658",42.940865,-78.891658
5034,Erie,140403,Store,JAC   ,SALEH KHALEEL G                  ,ARND THE CLOCK EXPRS MT,1421,MAIN ST                     ,BUFFALO,NY,14209,1500,"1421 main st buffalo, ny 14209 42.912273, -78.865573",42.912273,-78.865573
5038,Erie,142541,Store,JAC   ,AD ASIAN VARIETY MART INC        ,ASIAN VARIETY MART,977,SYCAMORE ST                  ,BUFFALO,NY,14212,1500,"977 sycamore st buffalo, ny 14212 42.898834, -78.835474",42.898834,-78.835474
5039,Erie,721945,Store,JAC   ,ASIA SUPER BAZAAR INC            ,ASIA SUPER BAZAAR,294,W FERRY STREET               ,BUFFALO,NY,14213,2000,"294 w ferry street buffalo, ny 14213 42.915271, -78.89069",42.915271,-78.89069
5040,Erie,140342,Store,JAD   ,THEODORE M. ATTEA INC            ,ATTEAS,1509,CLINTON ST                  ,BUFFALO,NY,14206,40000,"1509 clinton st buffalo, ny 14206 42.872283, -78.820624",42.872283,-78.820624
5041,Erie,730478,Store,JAC   ,KHULAQI JAMAL A                  ,AUBURN EXPRESS MART,412,AUBURN AVENUE                ,BUFFALO,NY,14213,0,"412 auburn avenue buffalo, ny 14213 42.918532, -78.88547",42.918532,-78.88547
5043,Erie,141052,Store,JAC   ,IGNATOWSKI TERESA                ,BABCIAS DELI,1972,CLINTON ST                  ,BUFFALO,NY,14206,600,"1972 clinton st buffalo, ny 14206 42.871801, -78.803605",42.871801,-78.803605
5044,Erie,724623,Store,JAC   ,BABICIAS PIEROGI LLC             ,BABICIAS PIEROGI,999,BROADWAY                 ,BUFFALO,NY,14212,495,"999 broadway buffalo, ny 14212 42.893309, -78.837813",42.893309,-78.837813
5046,Erie,713284,Store,JAC   ,NASSER MOKHTAR SALEH             ,BAILEY 1 STOP SHOP,2906,BAILEY AVE                  ,BUFFALO,NY,14215,1500,"2906 bailey ave buffalo, ny 14215 42.933837, -78.813654",42.933837,-78.813654
5047,Erie,707149,Store,JAC   ,BAILEY EXPRESS FOOD MARKET INC   ,BAILEY EXPRESS FOOD MAR,2756,BAILEY AVE                  ,BUFFALO,NY,14215,1800,"2756 bailey ave buffalo, ny 14215 42.930046, -78.813662",42.930046,-78.813662
5048,Erie,141333,Store,A     ,ALAWBALI ABDULLA                 ,BAILEY EXPRESS MARKET,3343,BAILEY AVE                  ,BUFFALO,NY,14215,1500,"3343 bailey ave buffalo, ny 14215 42.945975, -78.813679",42.945975,-78.813679
5049,Erie,732178,Store,JAC   ,BAILEY MARKET & DELI INC         ,BAILEY MARKET & DELI,2594,BAILEY AVE                  ,BUFFALO,NY,14215,1700,"2594 bailey ave buffalo, ny 14215 42.925304, -78.813676",42.925304,-78.813676
5050,Erie,142347,Store,JAC   ,LHK ENTERPRISES INC              ,BAILEY MINI-MARKET,1245,BAILEY AVE                  ,BUFFALO,NY,14206,2700,"1245 bailey ave buffalo, ny 14206 42.888278, -78.814191",42.888278,-78.814191
5051,Erie,148540,Store,JACH  ,BAILEY SEAFOOD                   ,BAILEY SEAFOOD,3316,BAILEY AVE                  ,BUFFALO,NY,14215,4000,"3316 bailey ave buffalo, ny 14215 42.945159, -78.813671",42.945159,-78.813671
5054,Erie,734144,Store,JAC   ,BALANCED BODY BY JADA BLITZ      ,BALANCED BODY FOODS,1391,HERTEL AVENUE               ,BUFFALO,NY,14216,1000,"1391 hertel avenue buffalo, ny 14216 42.947706, -78.856649",42.947706,-78.856649
5055,Erie,719705,Store,JAC   ,MARVIN ROY JAMES                 ,BARREL & BRINE,257,CAROLINA ST            ,BUFFALO,NY,14213,875,"257 carolina st buffalo, ny 14213 42.893368, -78.880271",42.893368,-78.880271
5059,Erie,726869,Store,JAC   ,BEREKETAB TEWOLOE HASHO          ,B BROTHERS GROCERY,950,E FERRY STREET               ,BUFFALO,NY,14211,0,"950 e ferry street buffalo, ny 14211 42.914498, -78.828912",42.914498,-78.828912
5062,Erie,715861,Store,JAC   ,HUSSEIN SANDY S                  ,BELLA MIA CHOCOLATE SHO,1096,HERTEL AVE                  ,BUFFALO,NY,14216,1000,"1096 hertel ave buffalo, ny 14216 42.947774, -78.867587",42.947774,-78.867587
5064,Erie,142805,Store,A     ,AHMED MOHAMMED A                 ,BEST BROTHERS MARKET,235,MASSACHUSETTS AVE      ,BUFFALO,NY,14213,1500,"235 massachusetts ave buffalo, ny 14213 42.910411, -78.892509",42.910411,-78.892509
5065,Erie,141842,Store,JACD  ,BEST DEAL MINI MART INC          ,BEST DEAL MINI MART,268,AMHERST ST                   ,BUFFALO,NY,14207,1200,"268 amherst st buffalo, ny 14207 42.93689, -78.893676",42.93689,-78.893676
5067,Erie,142446,Store,A     ,MUSA ALI M                       ,BETTER BUY MARKET,2005,GENESEE ST                  ,BUFFALO,NY,14211,1000,"2005 genesee st buffalo, ny 14211 42.914825, -78.808258",42.914825,-78.808258
5068,Erie,146558,Store,A     ,870 KENMORE AVE INC              ,BEVERAGE DISCOUNT CTR,870,KENMORE AVE                  ,BUFFALO,NY,14216,5000,"870 kenmore ave buffalo, ny 14216 42.958593, -78.850662",42.958593,-78.850662
5069,Erie,710187,Store,A     ,MOHIDDIN MUSAD & YAHYA MOHAMED   ,BIG BASHA BEAUTY,845,JEFFERSON AVE                ,BUFFALO,NY,14204,2500,"845 jefferson ave buffalo, ny 14204 42.898141, -78.85397",42.898141,-78.85397
5071,Erie,712032,Store,A     ,BIG LOTS STORES INC              ,BIG LOTS #1597,2276,DELAWARE AVE            ,BUFFALO,NY,14216,45000,"2276 delaware ave buffalo, ny 14216 42.944626, -78.868141",42.944626,-78.868141
5073,Erie,712038,Store,A     ,BIG LOTS STORES INC              ,BIG LOTS #1762,698,S OGDEN ST               ,BUFFALO,NY,14206,25000,"698 s ogden st buffalo, ny 14206 42.881101, -78.801155",42.881101,-78.801155
5078,Erie,141148,Store,JAC   ,BIG PASHA MINI MARKET LLC        ,BIG PASHA MINI MARKET,418,S PARK AVE                   ,BUFFALO,NY,14204,3000,"418 s park ave buffalo, ny 14204 42.871656, -78.864078",42.871656,-78.864078
5080,Erie,142973,Store,A     ,ALAWI THABET M                   ,BILLS CORNER,318,HAMPSHIRE ST                 ,BUFFALO,NY,14213,1400,"318 hampshire st buffalo, ny 14213 42.913918, -78.890273",42.913918,-78.890273
5081,Erie,730364,Store,JAC   ,BILLS CORNER MARKET              ,BILLS CORNER MARKET,318,HAMPSHIRE ST                 ,BUFFALO,NY,14213,1300,"318 hampshire st buffalo, ny 14213 42.913918, -78.890273",42.913918,-78.890273
5082,Erie,149223,Store,JAC   ,ALJAMALI HIZAM                   ,BILLS FOOD MART,32,ALLEN ST                      ,BUFFALO,NY,14202,1500,"32 allen st buffalo, ny 14202 42.899403, -78.871325",42.899403,-78.871325
5091,Erie,148973,Store,A     ,MICHAELS BRUCE                   ,BLACK ROCK BEVERAGES,538,HERTEL AVE                   ,BUFFALO,NY,14207,3600,"538 hertel ave buffalo, ny 14207 42.946723, -78.888085",42.946723,-78.888085
5092,Erie,712189,Store,JAC   ,BLACK ROCK EXPRESS MART INC      ,BLACK ROCK EXPRESS MART,442,AMHERST ST                   ,BUFFALO,NY,14207,1100,"442 amherst st buffalo, ny 14207 42.939091, -78.887507",42.939091,-78.887507
5093,Erie,141645,Store,A     ,BLACK ROCK PHARMACY INC          ,BLACK ROCK PHARMACY,431,TONAWANDA ST                 ,BUFFALO,NY,14207,15000,"431 tonawanda st buffalo, ny 14207 42.940762, -78.899185",42.940762,-78.899185
5096,Erie,140115,Store,JAC   ,BLUE MOUNTAIN COFFEES INC        ,BLUE MOUNTAIN COFFEES,509,ELMWOOD AVE                  ,BUFFALO,NY,14222,2000,"509 elmwood ave buffalo, ny 14222 42.910935, -78.877086",42.910935,-78.877086
5099,Erie,140665,Store,A     ,THONGCHANH LANE                  ,BOO&BEE STORE,591,FARGO AVE                    ,BUFFALO,NY,14213,600,"591 fargo ave buffalo, ny 14213 42.911504, -78.898261",42.911504,-78.898261
5100,Erie,724602,Store,JACH  ,BUFFALO FERMENTATION INC         ,BOOTLEG BUCHA,1250,NIAGARA ST                  ,BUFFALO,NY,14213,300,"1250 niagara st buffalo, ny 14213 42.917921, -78.899108",42.917921,-78.899108
5106,Erie,727684,Store,JAC   ,BRIANS BEST GLUTEN FREE LLC      ,BRIANS BEST GLUTEN FREE,247,CAYUGA ROAD STE 911          ,BUFFALO,NY,14225,1700,"247 cayuga road buffalo, ny 14225 42.93526, -78.744145",42.93526,-78.744145
5108,Erie,147212,Store,JAC   ,ALSHED MARKET INC                ,B RITE MARKET,905,CLINTON ST                   ,BUFFALO,NY,14210,2500,"905 clinton st buffalo, ny 14210 42.879574, -78.840828",42.879574,-78.840828
5109,Erie,717126,Store,JAC   ,SALEMS & SONS INC                ,BROADWAY A PLUS,350,BROADWAY ST                  ,BUFFALO,NY,14204,4000,"350 broadway st buffalo, ny 14204 42.888325, -78.860683",42.888325,-78.860683
5110,Erie,142719,Store,JAC   ,RED RAYS INC                     ,BROADWAY CONVENIENCE DL,1305,BROADWAY                    ,BUFFALO,NY,14212,2000,"1305 broadway buffalo, ny 14212 42.895253, -78.826575",42.895253,-78.826575
5111,Erie,712849,Store,JAC   ,BROADWAY LUCKY MART INC          ,BROADWAY LUCKY MART,825,BROADWAY ST                  ,BUFFALO,NY,14212,2500,"825 broadway st buffalo, ny 14212 42.892047, -78.84366",42.892047,-78.84366
5112,Erie,720295,Store,A     ,BROADWAY MART & DELI INC         ,BROADWAY MART & DELI,1358,BROADWAY ST                 ,BUFFALO,NY,14212,0,"1358 broadway st buffalo, ny 14212 42.895535, -78.824662",42.895535,-78.824662
5113,Erie,730486,Store,JAC   ,BROADWAY SEAFOOD INC             ,BROADWAY SEAFOOD,999,BROADWAY STREET STAND103 ,BUFFALO,NY,14212,800,"999 broadway street buffalo, ny 14212 42.893309, -78.837813",42.893309,-78.837813
5114,Erie,732972,Store,JAC   ,BROADWAY SEAFOOD LLC             ,BROADWAY SEAFOOD,999,BROADWAY STREET STAND104     ,BUFFALO,NY,14212,500,"999 broadway street buffalo, ny 14212 42.893309, -78.837813",42.893309,-78.837813
5115,Erie,729828,Store,JAC   ,BROTHERS GROCERY AND KITCHEN INC ,BROTHERS GROCERY AND KI,426,HERTEL AVE                   ,BUFFALO,NY,14207,2000,"426 hertel ave buffalo, ny 14207 42.945908, -78.892022",42.945908,-78.892022
5116,Erie,724213,Store,JAC   ,BUFFALO BREWING COMPANY LLC      ,BUFFALO BREWING COMPANY,314,MYRTLE AVE                   ,BUFFALO,NY,14204,1200,"314 myrtle ave buffalo, ny 14204 42.87815, -78.858175",42.87815,-78.858175
5117,Erie,729746,Store,JAC   ,ZAMAN MUHAMMED & SADRUZZAMAN MUHA,BUFFALO BURMESE STORE,1076,SYCAMORE ST                 ,BUFFALO,NY,14212,900,"1076 sycamore st buffalo, ny 14212 42.899913, -78.832065",42.899913,-78.832065
5118,Erie,142390,Store,A     ,AHMED YASER N                    ,BUFFALO DISCOUNT FOOD,279,JEFFERSON AVE            ,BUFFALO,NY,14204,1000,"279 jefferson ave buffalo, ny 14204 42.882706, -78.853924",42.882706,-78.853924
5120,Erie,732758,Store,JAC   ,BUFFALO FRESH INC                ,BUFFALO FRESH,1018-1020,BROADWAY ST            ,BUFFALO,NY,14212,12000,"1018 1020 broadway st buffalo, ny 14212 42.893542, -78.836715",42.893542,-78.836715
5121,Erie,719420,Store,JAC   ,BUFFALO GROCERY & HALAL MEATS INC,BUFFALO GROCERY & HALAL,331,VERMONT ST                   ,BUFFALO,NY,14213,0,"331 vermont st buffalo, ny 14213 42.908541, -78.886968",42.908541,-78.886968
5122,Erie,731576,Store,JAC   ,BUFFALO MEATS & DELI INC         ,BUFFALO MEATS & DELI,1036,E FERRY STREET              ,BUFFALO,NY,14211,1000,"1036 e ferry street buffalo, ny 14211 42.914462, -78.825533",42.914462,-78.825533
5123,Erie,142250,Store,JAC   ,GOLDEN CORNER LLC                ,BUFFALOS GOLDEN CORNER,1715,JEFFERSON AVE               ,BUFFALO,NY,14208,1500,"1715 jefferson ave buffalo, ny 14208 42.921996, -78.853994",42.921996,-78.853994
